SitePatch,SurveyDate,SiteNumber,SiteName,SiteType,State,FieldID,FlowID,SporeID,StomateID,SpeciesFinal,Habitat,Latitude,Longitude,Elevation,PatchSize,RamNum,RamDens,PCC,MicSlope,MicAspect,AdjMicAspect,final_MicAspect,MicHs,MacSlope,MacAspect,AdjMacAspect,final_MacAspect,MacHs,HsPos,LitDep,DepO,DepA,DepSoil,TexComp,pH,PctOM,P,K,Ca,Mg,Zn,B,Mn,Cu,Fe,Al,Na,S,ExchAcid,ECEC,Ca_BS,Mg_BS,K_BS,Pb,Ni,Cd,Cr,Ca:Mg
14.1,2018-06-12,14,GoatHill,S,PA,P,,P,,P,Serpentine-Influenced Oak-Red Maple Catbriar Forest,39.72844,-76.07449,127,29,30,1.03448275862069,85.96,23,188,184.5,S,"LC,LV",18,184,180.5,S,LV,Ts,1.66666666666667,1,6.83333333333333,11.5833333333333,clay loam,6.48,4.602,2.4,72,555,1241,0.9,0.15,18.7,0.05,3.5,5,11,9,0.6,13.3,19.96,74.38,1.33,0.2,27.75,0.05,0.15,0.447219983883965
14.2,2018-06-12,14,GoatHill,S,PA,P,,P,,P,Serpentine Mine Barrens,39.7223,-76.08048,96,29,26,0.896551724137931,20.44,43,218,214.5,S,LV,15,230,226.5,SW,LC,Bs,1.21428571428571,2.57142857142857,5.21428571428571,7.78571428571429,clay loam,7.62,7.605,2.6,54,715,1646,0.05,0.4,7.3,0.05,0.9,3,17,4,0,17.43,20.51,78.7,0.79,0.45,2.95,0,0.1,0.434386391251519
14.3,2018-06-12,14,GoatHill,S,PA,P,,,,P,Serpentine-Influenced Pine-Red Maple-Catbriar Forest,39.72554,-76.08028,89,11.5,2,0.173913043478261,25.38,5,182,178.5,SE,LL,8,190,186.5,S,"LL,LV",Bs,1.25,2.5,23.25,28.75,clay loam,6.58,6.513,0.95,35,677,1368,0.5,0.15,13.5,0.05,1.6,7,38,6,0.7,14.87,21.74,73.2,0.58,0.2,24,0,0.1,0.494883040935673
14.4,2018-06-14,14,GoatHill,S,PA,P,,,,P,Serpentine Outcrop/Oak Forest Ecotone,39.73343,-76.09253,63,54,67,1.24074074074074,86.48,38,314,310.5,W,"LC,LL",36,320,316.5,NW,LV,Bs,2.9,2.2,12.6,14.8,clay loam,6.48,5.694,1.1,52,382,965,0.9,0.15,38.4,0.1,2.3,7,10,5,0.84,10.09,17.49,73.62,1.22,0.25,33.05,0.05,0.1,0.395854922279793
15.1,2018-06-13,15,NottinghamPark,S,PA,P,,,,P,Serpentine Forest,39.73174,-76.03984,131,17,16,0.941176470588235,63.08,10,354,350.5,NW,"LC,LV",15,55,51.5,NE,"LL,LV",Ts,1.5,3,10,19,clay loam,6.8,8.242,1.25,50,571,1465,0.95,0.25,16.9,0.05,2.6,4,24,11,0.36,15.19,18.35,78.49,0.82,0.25,22.2,0.05,0.1,0.389761092150171
16.1,2018-06-13,16,PilotHillBarrens,S,PA,P,,,,P,Fire-Maintained Serpentine Grassland,39.70218,-76.18935,77,18,7,0.388888888888889,13.16,12,315,311.5,W,"LC,LL",7,109,105.5,E,LC,Bs,1.83333333333333,2,24,26,clay loam,6.5,3.51,0.9,36,267,911,0.75,0.15,12.1,0.1,4.2,11,31,5,0.34,9.02,14.27,81.16,0.99,0.35,21.5,0.05,0.1,0.293084522502744
16.2,2018-06-15,16,PilotHillBarrens,S,PA,P,,,,P,Serpentine Grassland/Paw-Paw Creek Bottom Lands Ecotone,39.70251,-76.18854,75,126,91,0.722222222222222,71.14,26,75,71.5,NE,LV,10,78,74.5,NE,LC,Bs/Ts,2.9,3,11.8,14.8,clay loam,6.3,6.331,0.95,58,416,985,0.95,0.2,30.6,0.1,2.4,8,18,5,1.54,10.44,17.37,68.55,1.24,0.2,32.45,0.05,0.05,0.422335025380711
17.1,2018-06-26,17,DeerIsle,S,ME,V,,,,A,Serpentine Forest/Ocean Shore Ecotone,44.26032,-68.63713,4,11,29,2.63636363636364,86.22,56,5,6,N,LL,32,0,1,N,LC,Bs/Ts,0.416666666666667,2.66666666666667,2.83333333333333,5.5,loam/sandy loam,6.96,8.06,1.95,64,1017,1375,0.7,0.6,3.3,0.05,1.2,3,83,4,0,16.71,30.44,68.58,0.98,0.5,4.8,0.05,0.05,0.739636363636364
17.2,2018-06-27,17,DeerIsle,S,ME,V,,,,V,Boreal Serpentine Forest,44.2474,-68.64403,36,8,13,1.625,73.74,52,65,66,NE,LL,27,86,87,NE,LC,Bs,1.75,5.58333333333333,3.16666666666667,8.66666666666667,NA,6.58,17.16,2.05,118,632,1596,1.1,0.45,14.6,0.1,4.9,8,89,10,2.94,16.76,16.04,67.51,1.54,0.35,15.5,0.1,0.35,0.395989974937343
17.3,2018-06-28,17,DeerIsle,S,ME,V,,,,V,White Cedar/Red Maple Serpentine Seep,44.24918,-68.64196,34,11,9,0.818181818181818,76.34,8,191,192,S,"VV,LL",7,197,198,S,LC,Bs,2.71428571428571,5.35714285714286,4.28571428571429,8.92857142857143,silty clay loam,6.69,19.344,1.45,79,808,1909,1.2,0.35,16.7,0.1,3.3,9,45,9,3.06,20.15,17.41,68.54,0.87,0.35,10,0.1,0.15,0.423258250392876
17.4,2018-06-29,17,DeerIsle,S,ME,V,,,,V,White Cedar Serpentine Seep,44.26002,-68.63703,24,13,8,0.615384615384615,79.98,8,22,23,N,LC,15,0,1,N,LC,Bs,2.5,1.8125,3.125,4.9375,clay loam,6.47,5.785,0.9,38,546,1059,0.8,0.2,7.4,0.1,5.7,9,25,10,0.9,11.65,21.75,70.32,0.78,0.3,8,0.05,0.15,0.515580736543909
18.1,2018-07-14,18,Gaspe,S,QC_PNG,V,,,A&V,A&V,Serpentine Outwash Barren/Spruce Fir Forest Ecotone,48.92345,-66.10944,257,8,4,0.5,26.94,18,220,238,SW,"LC,LL,LV",4,150,168,SE,LC,Ts,1.4,3.6,1.75,5.35,clay loam,6.9,11.609,1.25,60,553,1548,0.25,0.2,5.6,0.1,3.7,3,22,3,0.75,15.82,16.68,77.84,0.93,0.7,6.25,0.05,0.15,0.357235142118863
18.2,2018-07-15,18,Gaspe,S,QC_PNG,A&V,,,,A&V,Serpentine Outcrop,48.91473,-66.11561,636,12.5,18,1.44,15.24,30,109,127,E,"LC,LL",26,88,106,E,LC,Bs,0.571428571428571,2.85714285714286,5.78571428571429,8.78571428571429,clay loam,6.3,6.695,1,39,193,1041,0.4,0.1,8.8,0.1,15.1,9,18,7,1.62,9.74,8.49,76.36,0.88,0.15,12.4,0.05,0.1,0.185398655139289
18.3,2018-07-16,18,Gaspe,S,QC_PNG,A,,,,A,Serpentine Tableland,48.92595,-66.16955,993,17,34,2,0,16,250,268,SW,LC,14,256,274,W,LC,Sh,2.2,2.8,13,15.8,clay loam/silty clay loam,6.74,16.705,1.45,43,189,1695,0.25,0.1,4.3,0.05,6,3,22,6,2.33,15.18,5.4,80.69,0.63,0.35,27.3,0.05,0.2,0.111504424778761
18.4,2018-07-17,18,Gaspe,S,QC_PNG,V,,,A?,A?,Spruce-Fir Serpentine Forest,48.91916,-66.1178,469,10.5,12,1.14285714285714,72.18,10,23,41,N,LV,10,60,78,NE,LC,Bs,1.75,5.625,5.9375,14.625,silty clay loam,6.24,18.343,1.2,80,591,1865,0.7,0.15,12.4,0.15,17.9,45,52,6,4.4,18.7,12.79,67.29,0.89,0.3,14.05,0.05,0.4,0.316890080428954
18.5,2018-07-19,18,Gaspe,S,QC_PNG,V,,,V?,V?,Spruce-Fir-Tamarack Serpentine Wetland Forest,48.90283,-66.11892,498,14.5,15,1.03448275862069,70.36,5,95,113,E,LL,4,103,121,E,LL,Bs/Ts,1.5,5.875,17.5,23.375,clay loam/silty clay loam,7,10.062,1.25,27,171,1581,0.05,0.1,4.7,0.05,6.9,4,15,3,0.12,14.1,6.01,92.65,0.49,0.3,15.95,0.05,0.15,0.108159392789374
18.6,2018-07-20,18,Gaspe,S,QC_PNG,A,,,V?,V?,Spruce-Fir Serpentine Talus Forest ,48.91067,-66.14639,578,21,26,1.23809523809524,10.3,28,19,37,N,"LC,LL,LV",25,358,16,N,LC,Ts,1.66666666666667,7,11.3333333333333,18.8333333333333,silty clay loam,7.19,12.519,1.45,30,346,1780,0.05,0.2,3.4,0.05,4.1,2,18,3,0.04,16.64,10.37,88.94,0.46,0.3,4.8,0,0.25,0.19438202247191
18.7,2019-08-14,18,Gaspe,S,QC_PNG,A?,,,A,A,Serpentine Tableland,48.9015,-66.13644,676,105,105,1,5.88,31,19,37,N,"LL,LC",12,106,124,E,CC,Bs,1.27272727272727,1.09090909090909,2.36363636363636,7.04545454545455,clay loam,6.84,10.972,1.25,38,120,1531,0.25,0.1,3.6,0.2,5.9,3,16,3,0.81,13.46,4.21,89.44,0.68,0.15,13.1,0,0.15,0.07838014369693
18.8,2019-08-15,18,Gaspe,S,QC_PNG,A,,,V,A,Spruce-Fir Serpentine Talus Forest,48.91821,-66.17259,745,58,52,0.896551724137931,0.159999999999997,10,119,137,SE,"LL,LC",7,190,208,S,LC,Bs,0.857142857142857,5.21428571428571,4.71428571428571,23,clay loam,7.12,24.44,1.3,59,488,2263,0.15,0.15,2.5,0.1,2.5,2,26,4,2.76,21.45,10.08,77.9,0.62,0.05,7.15,0,0.25,0.215642951833849
18.9,2019-08-16,18,Gaspe,S,QC_PNG,A&V,,,A&V,A&V,Spruce-Fir Serpentine Talus Forest,48.91185,-66.16109,625,47,33,0.702127659574468,18.36,4,155,173,SE,"LL,LC",5,148,166,SE,LC,Bs,1.09090909090909,2.40909090909091,0.636363636363636,6,sandy loam,6.98,9.152,1.25,62,194,1357,0.25,0.05,4.3,0.1,3.7,3,16,3,0,12.44,7.8,90.92,1.28,0.15,9.15,0,0.2,0.142962417096536
19.1,2018-09-08,19,MtHawk,S,QC,V,,,,V,Northern Hardwood Serpentine Forest,45.02135,-72.37392,248,40,29,0.725,85.18,6,261,276.5,W,"LL,LV",5,251,266.5,SW,"CC,LC",Ts,2,4.57142857142857,3.28571428571429,32.8571428571429,clay loam,6.34,20.072,1.75,55,468,1654,2.65,0.35,12.7,0.15,4.3,10,35,18,4.31,16.26,11.38,67,0.69,0.75,16.8,0.15,0.2,0.282950423216445
19.2,2019-07-10,19,MtHawk,S,QC,V,,,,V,Northern Hardwood Serpentine Forest,45.02377,-72.37168,239,62,40,0.645161290322581,83.88,16,121,136.5,SE,"LL,LC,LV",26,69,84.5,NE,CC/CL,Bs,2.5,2.6875,2.125,21.875,loam,6.45,8.06,5.9,50,740,1229,3.65,0.3,10,0.2,3.9,12,18,8,1.45,14.07,23.84,66,0.83,0.15,18.05,0.15,0.15,0.602115541090317
19.3,2019-07-16,19,MtHawk,S,QC,A&V?,,,,A&V,Serpentine Outcrop,45.02152,-72.37363,254,50,76,1.52,72.96,46,241,256.5,SW,"LV,LC,LL",48,259,274.5,W,"LC,LV",Ts,1.8125,2.8125,4.75,11,clay loam,6.78,7.332,1.9,37,277,1662,0.45,0.4,2.9,0.1,2.6,5,14,6,0.24,15.33,8.9,88.95,0.61,0.35,3.75,0.05,0.1,0.166666666666667
20.1,2018-09-12,20,MelbourneHill,S,QC,V,,V,V,V,Hemlock- Northern Hardwood Serpentine Forest,45.61363,-72.10249,129,85,51,0.6,68.8,35,339,355,NW,LL,16,334,350,NW,"LC,LL,LV",Bs/Ts,1.58333333333333,1.58333333333333,2.20833333333333,8.29166666666667,sandy clay loam,6.68,5.785,1.95,36,677,1099,0.6,0.3,7.2,0.05,2.3,4,20,5,0.22,12.64,26.32,71.22,0.72,1.1,4.8,0.05,0.1,0.616014558689718
21.1,2018-09-19,21,BoltonCastle,S,QC,P,,P,P,P,Rich Northern Hardwood Serpentine Forest,45.17262,-72.37635,244,400,600,1.5,83.62,34,100,115.5,E,"LL,LV",24,118,133.5,E,"CC,LC",Bs,2.83333333333333,5.33333333333333,2.55555555555556,8.22222222222222,clay loam,5.37,10.335,1.75,81,577,749,9.8,0.2,26.5,0.05,19.3,65,24,10,5.51,9.33,19.44,42.05,1.4,0.55,2,0.25,0.6,0.770360480640855
21.2,2019-07-15,21,BoltonCastle,S,QC,V,,,,V,Northern Hardwood Serpentine Forest,45.1722,-72.37611,253,113,100,0.884955752212389,90.38,50,101,116.5,E,"LL,VV",60,99,114.5,E,LC,Bs,2.18181818181818,3,2.59090909090909,9.04545454545455,clay loam,5.29,39.455,5.5,88,944,1391,2.55,0.25,35.6,0.1,3.3,9,15,19,11.65,16.54,16.74,41.12,0.8,0.9,4.85,0.1,0.25,0.678648454349389
22.1,2018-08-28,22,Coleraine,S,QC,V,,,,V,Northern Hardwood Serpentine Forest,45.99347,-71.38213,322,20,21,1.05,58.92,5,192,207.5,S,"LC,LL,LV",8,114,129.5,E,"CC,CL",Bs/Ts,1.8125,2.75,4.4375,12,clay loam/silty clay loam,6.95,9.516,1.35,34,202,1418,0.85,0.2,4.6,0.05,5.4,6,12,5,0.17,12.91,7.72,90.3,0.67,0.35,10.7,0.05,0.1,0.142454160789845
22.2,2018-08-29,22,Coleraine,S,QC,A,,A,A,A,Serpentine Outcrop,45.99234,-71.38395,370,9,12,1.33333333333333,51.9,45,134,149.5,SE,"LC,LL",42,120,135.5,SE,LC,Bs,2.0625,3.0625,3.0625,6.125,clay loam,6.47,23.439,2,75,333,1500,0.45,0.15,8.8,0.05,4.3,3,12,6,4.58,14.36,8.79,66.01,1.02,1,8.05,0.1,0.15,0.222
22.3,2019-09-21,22,Coleraine,S,QC,A,,A,A,A,Serpentine Outcrop,45.99263,-71.38412,371,67,57,0.850746268656716,65.16,54,56,71.5,NE,"LC,LL,LV",36,85,100.5,E,LC,Sh/Bs,2.2,3.2,3.4,16.6,clay loam,6.87,17.797,1.45,54,162,1976,0.55,0.2,9.8,0.15,4,3,11,4,2.15,17.42,4.14,84.17,0.71,0.3,18.65,0.05,0.2,0.081983805668016
23.1,2018-10-05,23,Ludlow,S,VT,NA,,,,NA,Serpentine Outcrop,43.38771,-72.64922,355,NA,NA,NA,71.4,38,278,292,W,LV,24,218,232,SW,LC,"Bs,Ts",2.5,2.25,3.29166666666667,5.54166666666667,silty clay loam,6.9,18.252,2.4,120,910,1705,2.8,0.5,11.3,0.05,2.8,5,17,14,2.16,19.07,21.44,66.94,1.45,0.6,17.3,0.15,0.15,0.533724340175953
24.1,2019-07-02,24,SentinelRockSP,NS,VT,P,,,,P,Rich Northern Hardwood Forest,44.7915,-72.04147,580,21,25,1.19047619047619,79.2,8,241,255.5,SW,LL,7,243,257.5,SW,LC/CC,Bs,2,2.75,7.8,29.4,clay loam,6.09,25.077,0.9,54,2779,131,1.3,0.1,10.9,0.05,2.6,65,11,10,6.36,15.13,64.68,5.08,0.64,0.3,0.15,0.1,0,21.2137404580153
25.1,2019-07-03,25,BearMountain,NS,NH,P,,,,P,Rich Northern Hardwood Forest,43.66575,-71.80572,335,32,25,0.78125,86.74,23,133,147.5,SE,"LL,LV,VV",19,113,127.5,E,LC,Bs,2.5,2.4,8,21,clay loam,5.45,7.241,1.65,77,1579,145,3.7,0.15,16.4,0.05,8.3,97,12,10,4.74,9.3,56.24,8.61,1.41,0.9,0.1,0.1,0,10.8896551724138
26.1,2019-07-08,26,PeakedMtn,NS,VT,P,,,,P,Rich Northern Hardwood Forest,44.78412,-72.75065,483,166,77,0.463855421686747,85.7,27,138,153,SE,LL,11,238,253,SW,LC,Bs,2.33333333333333,1.27777777777778,4.72222222222222,10.6666666666667,clay loam,6.48,15.431,1.2,42,2738,94,1.15,0.2,9.1,0.1,2.2,19,10,8,2.93,14.58,78.18,4.47,0.61,0.25,0.1,0.1,0,29.1276595744681
27.1,2019-07-13,27,MtEquinox,NS,VT,P,,,,P,Rich Northern Hardwood Forest,43.207044,-73.092799,392.65,7239,10858.5,1.5,87,22.5,105,119,E,"LC,LL,LV",18.75,100,114,E,LC,Bs/Ts,0.95,0.8,15.8,36.8,clay loam,6.21,6.968,0.9,32,2222,86,1.9,0.2,10.7,0.05,1.8,13,9,5,1.97,11.91,80.03,5.16,0.59,0.25,0.1,0.1,0,25.8372093023256
27.2,2019-07-14,27,MtEquinox,NS,VT,P,,,,P,Rich Northern Hardwood Forest,43.17089,-73.09412,544,4850,NA,NA,88.3,19,145,159,SE,"LC,LL,VV",20,125,139,SE,LC,Bs,1.91666666666667,1.91666666666667,6.66666666666667,15.1666666666667,clay loam,6.12,10.608,2.15,95,2558,347,4.6,0.3,12.6,0.1,4.3,18,8,17,3.04,15.93,67.44,15.25,1.28,0.75,0,0.2,0,7.37175792507205
28.1,2019-08-28,28,KuogwOutcrops,S,VT,V,,V,,V,Serpentine Outcrop,44.88816,-72.40302,310,79,74,0.936708860759494,42.54,34,245,260.5,SW,"LC,LL,LV",46,306,321.5,NW,LC,Sh/Bs,2.1875,2.8125,2.0625,12.625,loam/clay loam,6.27,20.254,2.6,67,243,1527,1,0.3,8.5,0.1,2.2,5,13,6,4.54,14.11,6.51,68.21,0.92,0.7,7.9,0.05,0.15,0.159135559921415
28.2,2019-09-18,28,KuogwOutcrops,S,VT,A,,,,A,Serpentine Forest,44.88874,-72.40266,297,230,153,0.665217391304348,70.1,38,304,319.5,NW,"LV,LL,LC,LC",44,292,307.5,W,LC,Bs,2.8,3.4,3.5,17.1,loam/clay loam,6.53,11.882,1.85,66,252,1383,0.45,0.15,5.8,0.1,2.6,5,13,3,1.98,12.95,8.44,77.19,1.13,0.85,5.8,0.05,0.3,0.182212581344902
29.1,2020-06-16,29,SouthMississquoiRidge,S,VT,V,,,,V,Northern Hardwood Serpentine Forest,44.8032,-72.45862,284,139,80,0.575539568345324,78.68,15,318,332.5,NW,"LC,LL",17,17,31.5,N,CL,Bs,2.64285714285714,2.14285714285714,5.14285714285714,29.5714285714286,clay loam/sandy clay loam,6.19,15.067,2.5,39,667,1608,4.95,0.3,8,0.15,10.1,10,40,15,3.72,16.84,16.22,65.18,0.49,0.6,13.6,0.15,0.1,0.414800995024876
29.2,2020-09-20,29,SouthMississquoiRidge,S,VT,V&P,,,,V&P,Northern Hardwood Serpentine Forest,44.79509,-72.46091,413,344,118,0.343023255813953,78.94,34,125,139.5,SE,"CC,LC,LL",32,118,132.5,E,LC,Sh,2.80769230769231,3,3.5,7.76923076923077,loam,5.53,14.794,5,96,788,1090,7.85,0.2,29.4,0.1,16.9,27,10,9,5.79,13.27,20.67,47.65,1.29,0.35,5,0.15,0.3,0.722935779816514
30.1,2020-06-17,30,MapleHillWoods,NS,VT,P,,,,P,Rich Northern Hardwood Forest,44.27119,-72.3965,420,208,65,0.3125,90.12,7,334,348.5,NW,LL,8,344,358.5,NW,LV,Bs/Ts,2.875,0.625,12.25,27.75,clay loam,7.01,10.79,1.5,52,3363,75,0.6,0.5,5.3,0.05,1.7,6,19,7,0.25,17.57,94.34,3.51,0.75,0.05,0.1,0.05,0.05,44.84
31.1,2020-06-23,31,BerlinTF,NS,VT,P,,,,P,Rich Northern Hardwood Forest,44.1572,-72.59576,338,468,99,0.211538461538462,85.96,32,114,128.5,E,LC,26,118,132.5,E,LC,Bs,3.2,0.7,10.8,43.4,clay loam,6.32,6.149,1.25,25,1528,99,1.3,0.25,12.6,0.1,7.5,8,8,6,1.44,8.53,76.65,8.28,0.64,0.15,0.3,0.05,0,15.4343434343434
32.1,2020-06-26,32,OkemoSF,NS,VT,P,,,,P,Rich Northern Hardwood Forest,43.42401,-72.74677,716,34,20,0.588235294117647,82.06,24,308,322.5,NW,LL,21,304,318.5,NW,LC/CC,Bs,2.25,2.75,10.1666666666667,14.3333333333333,silt loam,5.43,16.159,1.65,128,1687,118,7.95,0.2,27.1,0.15,11.1,251,32,16,7.29,9.75,49.51,5.77,1.93,1.35,0.4,0.2,0.05,14.2966101694915
33.1,2020-07-21,33,AinsworthSP,NS,VT,P,,,,P,Mixed Hemlock-Northern Hardwood Forest,44.0756,-72.57306,274,546,176,0.322344322344322,86.22,36,62,76.5,NE,"LL,LV",43,55,69.5,NE,LC,Bs/Ts,2.75,0.642857142857143,7.25,25.4285714285714,loam/sandy loam,7.67,6.604,1.25,20,3637,184,1.1,0.55,33.2,0.1,10.3,7,8,5,0,19.77,91.98,7.76,0.26,0.15,0.3,0.05,0.05,19.7663043478261
34.1,2020-08-05,34,HuyckNP,NS,NY,P,,,,P,Locally-enriched Hemlock/Oak NHF?,42.51717,-74.15109,488,105,32,0.304761904761905,87.78,11,41,54,NE,"LL,LV",9,36,49,NE,CC,Bs/Ts,1.875,0.9375,14.5,28,silty clay loam,6.25,10.881,0.95,89,2952,218,0.55,0.25,7.8,0.1,3.2,46,16,7,2.8,16.8,75.28,9.27,1.16,0.55,0.15,0.1,0.05,13.5412844036697
34.2,2020-08-05,34,HuyckNP,NS,NY,P,,,,P,Rich Northern Hardwood Forest,42.51488,-74.15009,504,82,23,0.280487804878049,84.4,11,87,100,E,LL,14,83,96,E,LC,Bs,2.41666666666667,0.291666666666667,13.1666666666667,16.5,silty clay loam,5.85,8.515,1.35,84,1878,164,1.15,0.2,13.6,0.05,5.9,77,13,7,3.68,10.97,64.09,9.33,1.47,0.7,0.3,0.1,0.05,11.4512195121951
35.1,2020-08-06,35,ThompsonLake,NS,NY,P,,,,P,Locally-enriched Hemlock Northern Hardwood Forest?,42.65755,-74.04513,409,42,19,0.452380952380952,86.22,2,148,161,SE,LC,2,190,203,S,LL,?,2.15,1.2,5.5,8.4,silty clay loam,6.97,21.346,2.9,106,3655,133,2.45,1.15,7.3,0.05,1.5,6,10,10,2.59,19.66,82.14,4.98,1.22,0,0.1,0.1,0.05,27.4812030075188
36.1,2020-08-06,36,MtTomSF,NS,NY,P,,,,P,Rich Northern Hardwood Forest,43.00506,-73.30548,414,48,28,0.583333333333333,88.82,6,200,213.5,S,"LL,LC",8,208,221.5,S,LC,Bs,1.8,1,11.4,20.6,clay loam,5.03,19.253,3.3,130,669,69,6.45,0.15,49.6,0.2,16.6,385,25,32,9.72,4.25,23.94,4.11,2.39,1.8,0.65,0.15,0.1,9.69565217391304
37.1,2020-08-09,37,PerkinsvilleQuarry,S,VT,P,,,,P,Northern Hardwood Serpentine Forest?,43.37271,-72.53429,326,51,17,0.333333333333333,81.02,0,NA,NA,NA,LL,3,280,294.5,W,LC,?,2.11111111111111,0.833333333333333,5.27777777777778,14.8888888888889,sandy clay loam,6.26,7.423,2.25,106,2007,287,2.5,0.2,7.6,0.15,4.9,36,8,7,2.01,12.7,68.25,16.27,1.85,0.65,0.3,0.1,0.05,6.99303135888502
38.1,2020-08-11,38,NiquetteBaySP,NS,VT,P,,,,P,Rich Northern Hardwood Forest,44.59045,-73.18635,65,11,7,0.636363636363636,89.86,12,344,358.5,NW,LV,12,345,359.5,NW,CL,Ts,0.375,0.916666666666667,7.66666666666667,11.4166666666667,clay loam,6.55,10.153,9.3,115,2780,393,2.55,0.6,13.8,0.05,2.7,9,14,7,1.57,17.47,73.02,17.2,1.55,0.15,0.15,0.1,0,7.07379134860051
39.1,2020-08-16,39,PakessoRidge,S,VT,A,,,,A,Serpentine Outcrop/Serpentine Forest Ecotone,44.8132,-72.42356,412,35,23,0.657142857142857,37.86,32,294,308.5,W,LL,24,302,316.5,NW,LC,Sh/Bs,3.45833333333333,2.625,2.16666666666667,6.125,clay loam/sandy clay loam,6.11,9.243,1.55,35,220,1486,2.85,0.2,7,0.15,16.7,22,17,4,2.8,13.57,6.72,75.64,0.55,0.9,8.25,0.1,0.45,0.148048452220727
40.1,2020-08-20,40,NorthTroyOutcrop,S,VT,V&P,NA,P,,V&P,Rich Northern Hardwood Serpentine Forest,44.92875,-72.38766,338,115,43,0.373913043478261,84.4,36,101,115.5,E,"LL,LV",28,117,131.5,E,LC,Bs,3,3.88888888888889,5.83333333333333,10.3333333333333,clay loam,5.74,15.704,1.5,79,788,1090,2.95,0.2,25.8,0.15,15.9,61,17,9,5.47,13.23,21.08,48.59,1.08,0.35,6.9,0.1,1,0.722935779816514
41.1,2020-08-26,41,ParkerBrook,S,ME,A&V,NA,V,,A&V,Serpentine Outcrop/Serpentine Forest Ecotone,45.32679,-70.25124,328,23,18,0.782608695652174,61.52,22,234,249.5,SW,LL,20,236,251.5,SW,LC/VC,Ts,1.95,3.2,1.3,9.1,loam,5.35,10.062,2.95,46,357,1012,1.5,0.15,15.2,0.1,16.6,19,11,5,5.33,10.34,11.39,53.83,0.75,0.9,6.6,0.05,0.6,0.352766798418972
41.2,2020-08-27,41,ParkerBrook,S,ME,V,NA,V,,V,Boreal Serpentine Forest,45.32527,-70.25858,344,30,17,0.566666666666667,66.98,7,52,67.5,NE,LL,5,49,64.5,NE,LC,Sh,1.25,4.83333333333333,5.08333333333333,28,loam,6.43,21.71,1.45,67,953,1874,0.75,0.25,7.9,0.1,3.9,13,16,7,4.38,20.55,19.11,62.63,0.69,0.35,7.95,0.1,0.35,0.508537886872999
